distribution,sample_size,arg1,arg2,ID
poisson,100000,66,,1
uniform,1000,0,28.77443105,2
weibull,100000,0.708801006,,3
normal,100000,45.41213873,22.6455021,4
weibull,100000,0.583207819,,5
poisson,10000,97,,6
uniform,10000,0,3.728517124,7
normal,10000,78.88120705,21.49425577,8
weibull,1000,0.615839122,,9
weibull,1000,0.629117367,,10
poisson,10000,71,,11
normal,100000,99.07102312,49.43060942,12
weibull,10000,0.117048147,,13
uniform,1000,0,22.51288864,14
normal,10000,60.5944646,44.51986064,15
uniform,1000,0,20.29031765,16
binomial,1000,592,0.710429528,17
normal,1000,18.93852811,41.15243267,18
normal,100000,90.16669859,45.43110746,19
uniform,1000,0,32.0828657,20
poisson,100000,22,,21
binomial,100000,688,0.454080989,22
poisson,100000,27,,23
poisson,10000,81,,24
poisson,100000,96,,25
binomial,1000,657,0.491872987,26
uniform,100000,0,13.89064976,27
poisson,10000,12,,28
poisson,100000,63,,29
weibull,100000,0.266669937,,30
uniform,1000,0,31.72167734,31
uniform,100000,0,8.151475107,32
normal,1000,6.774785722,31.06111238,33
poisson,1000,75,,34
poisson,1000,93,,35
uniform,10000,0,37.64651356,36
poisson,100000,35,,37
uniform,100000,0,35.10049833,38
weibull,10000,0.326687025,,39
poisson,100000,94,,40
normal,10000,92.62699822,44.56819574,41
uniform,10000,0,15.69677164,42
binomial,10000,599,0.2745455,43
normal,100000,69.00700599,48.68410393,44
uniform,100000,0,24.66237296,45
weibull,1000,0.567714587,,46
normal,10000,20.00862793,12.02137462,47
normal,10000,53.16475463,49.93530487,48
poisson,10000,44,,49
weibull,1000,0.375481115,,50
normal,100000,15.00362862,10.44785937,51
weibull,1000,0.80448112,,52
binomial,10000,626,0.1739874,53
poisson,10000,2,,54
poisson,1000,35,,55
weibull,1000,0.617218011,,56
uniform,10000,0,12.19429049,57
uniform,100000,0,40.85785923,58
weibull,10000,0.54203764,,59
normal,100000,15.72505764,16.66026486,60
weibull,1000,0.947073597,,61
binomial,100000,93,0.669112389,62
binomial,10000,417,0.364569424,63
poisson,100000,6,,64
normal,100000,94.89707627,3.227326946,65
normal,1000,34.28713274,18.10766745,66
weibull,1000,0.091688581,,67
binomial,1000,266,0.657575823,68
normal,10000,15.82952757,31.55993853,69
normal,1000,11.09481764,48.37314373,70
weibull,10000,0.134537068,,71
uniform,1000,0,36.21237064,72
uniform,100000,0,36.41877979,73
poisson,10000,94,,74
normal,100000,94.51795693,15.97061648,75
poisson,1000,85,,76
poisson,1000,16,,77
uniform,10000,0,42.21255002,78
poisson,100000,24,,79
weibull,100000,0.438286071,,80
poisson,1000,94,,81
uniform,1000,0,16.06420337,82
normal,10000,2.607481724,6.13996179,83
weibull,1000,0.543224744,,84
binomial,100000,827,0.427478963,85
uniform,1000,0,21.5536465,86
binomial,100000,110,0.227028252,87
poisson,1000,94,,88
normal,10000,80.60995709,40.22679913,89
poisson,10000,4,,90
uniform,1000,0,16.97350473,91
poisson,100000,4,,92
weibull,1000,0.804134115,,93
weibull,10000,0.25379887,,94
poisson,100000,10,,95
binomial,10000,119,0.469935643,96
weibull,1000,0.734524019,,97
normal,10000,47.32152873,34.24354265,98
binomial,10000,486,0.393264921,99
normal,1000,55.21048953,35.85415592,100
poisson,1000,88,,101
uniform,100000,0,12.35203792,102
weibull,10000,0.845902157,,103
poisson,100000,63,,104
uniform,100000,0,27.66728126,105
poisson,100000,55,,106
normal,1000,73.57511994,34.58270064,107
normal,10000,44.40060464,18.83952346,108
binomial,10000,980,0.502272,109
weibull,100000,0.050544467,,110
weibull,1000,0.107288984,,111
binomial,1000,799,0.920528359,112
normal,1000,54.57362962,11.16548691,113
uniform,1000,0,34.47823456,114
normal,100000,75.33549073,20.17576128,115
weibull,100000,0.681763801,,116
binomial,10000,173,0.94499026,117
uniform,10000,0,43.59436459,118
binomial,1000,627,0.709165285,119
normal,10000,66.2740671,23.26853781,120
weibull,1000,0.679665555,,121
poisson,1000,53,,122
poisson,100000,20,,123
poisson,100000,76,,124
normal,1000,5.287849699,36.24874608,125
normal,1000,10.82771398,21.85203075,126
poisson,10000,19,,127
uniform,100000,0,37.21929982,128
weibull,1000,0.916024726,,129
uniform,10000,0,17.22467763,130
normal,1000,49.22547509,28.25445417,131
binomial,10000,235,0.585277063,132
binomial,1000,9,0.795479196,133
binomial,100000,864,0.319060637,134
normal,1000,26.47137997,5.822703585,135
poisson,1000,42,,136
normal,10000,27.83616438,16.39549531,137
uniform,10000,0,28.435684,138
weibull,100000,0.897380359,,139
poisson,1000,41,,140
normal,1000,91.94805095,17.21886621,141
poisson,100000,9,,142
weibull,1000,0.299952153,,143
binomial,10000,219,0.701767935,144
normal,10000,64.42351048,5.157757931,145
poisson,10000,21,,146
weibull,100000,0.521064282,,147
normal,10000,83.14367412,1.452284246,148
weibull,1000,0.53960941,,149
binomial,1000,918,0.007894803,150
normal,1000,35.83440338,5.066655455,151
uniform,1000,0,14.41074892,152
weibull,1000,0.102201692,,153
weibull,10000,0.787246375,,154
binomial,10000,899,0.440677667,155
uniform,10000,0,20.38285405,156
binomial,100000,566,0.909709779,157
poisson,1000,95,,158
weibull,1000,0.386813462,,159
weibull,10000,0.91481414,,160
uniform,100000,0,13.14662364,161
