2023-04-19 11:37:53,494:INFO:Row: ['uniform', '1000', '0', '28.77443105'], Mean: 14.425891212958177, Standard deviation: 8.265355383213688, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,494:INFO:Row: ['poisson', '100000', '66', ''], Mean: 66.00816, Standard deviation: 8.154241437092722, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['weibull', '100000', '0.708801006', ''], Mean: 1.2558517156811067, Standard deviation: 1.8036799931197975, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['normal', '100000', '45.41213873', '22.6455021'], Mean: 45.34276004630779, Standard deviation: 22.69093871282532, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['weibull', '100000', '0.583207819', ''], Mean: 1.563543183818692, Standard deviation: 2.8301375083481783, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['uniform', '10000', '0', '3.728517124'], Mean: 1.8392464577098155, Standard deviation: 1.076454528562411, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['poisson', '10000', '97', ''], Mean: 97.0187, Standard deviation: 9.851545579755493, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['weibull', '1000', '0.615839122', ''], Mean: 1.5479889555252944, Standard deviation: 2.680195407603142, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['normal', '10000', '78.88120705', '21.49425577'], Mean: 78.8146910419112, Standard deviation: 21.490812522778917, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['weibull', '1000', '0.629117367', ''], Mean: 1.3987777901486813, Standard deviation: 2.6414979827429415, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['poisson', '10000', '71', ''], Mean: 70.945, Standard deviation: 8.434629511721306, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['normal', '100000', '99.07102312', '49.43060942'], Mean: 98.82759525069054, Standard deviation: 49.24360215460464, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['uniform', '1000', '0', '22.51288864'], Mean: 11.00930566558375, Standard deviation: 6.396609698280804, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['weibull', '10000', '0.117048147', ''], Mean: 49369.380136606145, Standard deviation: 1389872.791993579, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['uniform', '1000', '0', '20.29031765'], Mean: 10.192571016144221, Standard deviation: 5.7861441845861075, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['binomial', '1000', '592', '0.710429528'], Mean: 420.575, Standard deviation: 11.079367084811299, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['normal', '10000', '60.5944646', '44.51986064'], Mean: 60.21904261841414, Standard deviation: 44.4833863379229, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,510:INFO:Row: ['normal', '1000', '18.93852811', '41.15243267'], Mean: 18.519777383690343, Standard deviation: 41.477691731145526, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,526:INFO:Row: ['uniform', '1000', '0', '32.0828657'], Mean: 15.878572830751478, Standard deviation: 9.312955003147033, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,526:INFO:Row: ['normal', '100000', '90.16669859', '45.43110746'], Mean: 90.08153877932415, Standard deviation: 45.1820694362611, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,526:INFO:Row: ['poisson', '100000', '22', ''], Mean: 22.00772, Standard deviation: 4.6903561060542085, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,526:INFO:Row: ['binomial', '100000', '688', '0.454080989'], Mean: 312.44011, Standard deviation: 13.070383819456104, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,542:INFO:Row: ['poisson', '10000', '81', ''], Mean: 80.985, Standard deviation: 9.041381255095928, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,542:INFO:Row: ['poisson', '100000', '27', ''], Mean: 27.0049, Standard deviation: 5.187723584579271, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,542:INFO:Row: ['binomial', '1000', '657', '0.491872987'], Mean: 323.002, Standard deviation: 12.63780028327715, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,542:INFO:Row: ['poisson', '100000', '96', ''], Mean: 96.04078, Standard deviation: 9.797992498037544, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,542:INFO:Row: ['uniform', '100000', '0', '13.89064976'], Mean: 6.958965099860275, Standard deviation: 4.003992720673825, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,542:INFO:Row: ['poisson', '10000', '12', ''], Mean: 12.0541, Standard deviation: 3.40781061533648, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,542:INFO:Row: ['poisson', '100000', '63', ''], Mean: 62.98725, Standard deviation: 7.9347695264260825, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,558:INFO:Row: ['uniform', '1000', '0', '31.72167734'], Mean: 16.02412882567816, Standard deviation: 9.090790440926872, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,558:INFO:Row: ['weibull', '100000', '0.266669937', ''], Mean: 16.27657994715175, Standard deviation: 110.30049137523244, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,558:INFO:Row: ['normal', '1000', '6.774785722', '31.06111238'], Mean: 6.423225592925691, Standard deviation: 31.349255379112076, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['poisson', '1000', '75', ''], Mean: 74.534, Standard deviation: 8.68152313825172, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['poisson', '1000', '93', ''], Mean: 93.44, Standard deviation: 9.651652708215314, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['uniform', '100000', '0', '8.151475107'], Mean: 4.070605669182451, Standard deviation: 2.3511507546201464, Time elapsed: 0.004052 seconds
2023-04-19 11:37:53,562:INFO:Row: ['uniform', '10000', '0', '37.64651356'], Mean: 18.765812224305233, Standard deviation: 10.922073888556218, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['poisson', '100000', '35', ''], Mean: 35.00823, Standard deviation: 5.91063975108448, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['weibull', '10000', '0.326687025', ''], Mean: 6.659168362030419, Standard deviation: 28.13277424652096, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['uniform', '100000', '0', '35.10049833'], Mean: 17.56288413868856, Standard deviation: 10.136445692623411, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['normal', '10000', '92.62699822', '44.56819574'], Mean: 93.03962512300559, Standard deviation: 44.72695867547877, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['uniform', '10000', '0', '15.69677164'], Mean: 7.839444253644234, Standard deviation: 4.519400942273421, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['poisson', '100000', '94', ''], Mean: 94.00511, Standard deviation: 9.6971276101689, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,562:INFO:Row: ['binomial', '10000', '599', '0.2745455'], Mean: 164.3661, Standard deviation: 11.030170932039086, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,578:INFO:Row: ['normal', '100000', '69.00700599', '48.68410393'], Mean: 69.02342353486648, Standard deviation: 48.611844846231406, Time elapsed: 0.000266 seconds
2023-04-19 11:37:53,578:INFO:Row: ['weibull', '1000', '0.567714587', ''], Mean: 1.7420515753343375, Standard deviation: 3.368069328053449, Time elapsed: 0.000000 seconds
2023-04-19 11:37:53,578:INFO:Row: ['normal', '10000', '20.00862793', '12.02137462'], Mean: 20.117414957397845, Standard deviation: 11.883800095019122, Time elapsed: 0.000000 seconds
